price,date_sold,suburb,num_bath,num_bed,num_parking,property_size,type,suburb_population,suburb_median_income,suburb_sqkm,suburb_lat,suburb_lng,suburb_elevation,cash_rate,property_inflation_index,km_from_cbd,region,population_(rounded)*,postcode,ethnic_breakdown_2016,median_house_price_(2020),median_house_price_(2021),%_change,median_house_rent_(per_week),median_apartment_price_(2020),median_apartment_rent_(per_week),public_housing_%,avg._years_held,time_to_cbd_(public_transport)_[town_hall_st],time_to_cbd_(driving)_[town_hall_st],nearest_train_station,highlights/attractions,ideal_for,traffic,public_transport,affordability_(rental),affordability_(buying),nature,noise,things_to_see/do,family-friendliness,pet_friendliness,safety,overall_rating,review_link
828000,2016-02-13,Wetherill Park,2,3,1,563,House,6127,25688,11.214,-33.84214,150.89843,43,2.0,150.9,28.94,Western Suburbs,"6,250",2164.0,"Australian 10.6%, Italian 9.6%, English 8.9%, Assyrian 7.6%, Chinese 4.7%","$760,000.00","$980,000.00",28.95%,$500.00,"$525,000.00",$430.00,2%,18.2,75 minutes,45 minutes,Guildford,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
580000,2016-02-13,Narara,1,3,1,601,House,7934,34632,8.242,-33.39553,151.33681,10,2.0,150.9,53.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280000,2016-02-15,Concord,2,3,2,335,Semi-Detached,14533,39052,5.058,-33.85608,151.10677,6,2.0,150.9,9.6,Inner West,"15,000",2137.0,"Italian 17.7%, English 14.7%, Australian 14.0%, Chinese 9.5%, Irish 7.4%","$1,800,000.00","$2,200,000.00",22.22%,$750.00,"$995,000.00",$500.00,3%,13.5,40,30,Concord West,"Golf courses, multiple parks & ovals, Concord Museum & City of Canada Bay Museum","Families, professionals, retirees",6.0,5.0,5.0,3.0,8.0,7.0,6.0,9.0,9.0,9.0,6.7,https://sydneysuburbreviews.com/concord
930000,2016-02-15,Canley Vale,2,4,3,1080,House,10216,20592,2.887,-33.88495,150.95058,11,2.0,150.9,24.09,Western Suburbs,"10,500",2166.0,"Vietnamese 29.0%, Chinese 22.5%, English 5.6%, Australian 5.3%, Khmer (Cambodian) 5.0%","$815,000.00","$950,000.00",16.56%,$430.00,"$390,000.00",$330.00,9%,11.7,50 minutes,45 minutes,Canley Vale,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
900000,2016-02-15,Killcare Heights,2,4,6,702,House,745,40716,2.146,-33.52256,151.37418,127,2.0,150.9,40.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
710000,2016-02-15,Bass Hill,1,3,2,638,House,9069,24388,2.929,-33.90028,150.99309,40,2.0,150.9,20.43,Western Suburbs,"9,250",2197.0,"Lebanese 20.9%, Australian 13.5%, English 11.0%, Vietnamese 7.9%, Italian 4.3%","$790,000.00","$900,000.00",13.92%,$570.00,,$470.00,12%,14.3,70 minutes,40 minutes,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
553000,2016-02-15,Bensville,1,3,1,771,House,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2949000,2016-02-16,North Turramurra,4,5,2,950,New House & Land,4257,42484,11.614,-33.69054,151.15407,169,2.0,150.9,20.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1180000,2016-02-16,North Rocks,2,4,2,735,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,Hills Shire,"8,000",2151.0,"English 20.1%, Australian 19.4%, Chinese 14.9%, Irish 6.8%, Scottish 5.5%","$1,250,000.00","$1,500,000.00",20.00%,$590.00,"$605,000.00",$495.00,0%,17.1,60 minutes,35 minutes,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1030000,2016-02-16,Avalon Beach,1,3,4,650,House,9905,43628,5.131,-33.62899,151.32686,46,2.0,150.9,28.35,Northern Beaches,"10,000",2107.0,"English 34.6%, Australian 24.6%, Irish 10.7%, Scottish 8.8%, German 2.9%","$1,900,000.00","$2,250,000.00",18.42%,$850.00,"$790,000.00",$550.00,0%,8.6,95 minutes,55 minutes,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
905000,2016-02-16,Panania,2,4,1,278,Duplex,12419,34216,4.751,-33.95493,150.99524,18,2.0,150.9,22.21,Western Suburbs,"12,500",2213.0,"Australian 21.6%, English 18.6%, Irish 7.3%, Chinese 6.6%, Lebanese 5.1%","$950,000.00","$1,100,000.00",15.79%,$630.00,"$750,000.00",$450.00,11%,12.0,30,40,Panania,Kelso Beach Reserve,"Small families, families, retirees, professionals",6.0,7.0,7.0,7.0,7.0,7.0,3.0,8.0,8.0,6.0,6.6,https://sydneysuburbreviews.com/panania
750000,2016-02-16,Bass Hill,2,4,2,290,Duplex,9069,24388,2.929,-33.90028,150.99309,40,2.0,150.9,20.43,Western Suburbs,"9,250",2197.0,"Lebanese 20.9%, Australian 13.5%, English 11.0%, Vietnamese 7.9%, Italian 4.3%","$790,000.00","$900,000.00",13.92%,$570.00,,$470.00,12%,14.3,70 minutes,40 minutes,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
580000,2016-02-16,Bensville,2,3,1,1764,House,2545,36764,4.925,-33.49914,151.39045,27,2.0,150.9,43.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325000,2016-02-17,North Rocks,2,5,2,739,House,7965,40092,5.462,-33.77572,151.01474,92,2.0,150.9,20.61,Hills Shire,"8,000",2151.0,"English 20.1%, Australian 19.4%, Chinese 14.9%, Irish 6.8%, Scottish 5.5%","$1,250,000.00","$1,500,000.00",20.00%,$590.00,"$605,000.00",$495.00,0%,17.1,60 minutes,35 minutes,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1130000,2016-02-17,Rosehill,1,3,0,948,House,3806,39624,3.67,-33.82647,151.03151,4,2.0,150.9,17.06,Western Suburbs,"4,000",2142.0,"Indian 22.1%, English 9.7%, Chinese 9.7%, Lebanese 6.9%, Australian 6.7%","$860,000.00","$950,000.00",10.47%,$500.00,"$480,000.00",$410.00,2%,,45 minutes,30 minutes,Parramatta,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1100000,2016-02-17,Picnic Point,1,3,4,975,House,6160,40560,3.859,-33.97301,151.00632,33,2.0,150.9,22.31,Western Suburbs,"6,250",2213.0,"Australian 23.1%, English 20.7%, Irish 8.2%, Scottish 5.9%, Greek 4.9%","$1,000,000.00","$1,200,000.00",20.00%,$625.00,"$740,000.00",$580.00,1%,12.2,60 minutes,35 minutes,East Hills,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1039000,2016-02-17,Lansvale,3,5,2,569,House,2570,25376,2.893,-33.89877,150.96071,5,2.0,150.9,23.35,Western Suburbs,"2,750",2166.0,"Vietnamese 25.3%, Australian 12.4%, English 10.9%, Chinese 9.4%, Lebanese 4.5%","$725,000.00","$850,000.00",17.24%,$480.00,,,4%,15.3,90 minutes,45 minutes,Carramar,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
977000,2016-02-17,Petersham,1,2,0,170,House,8116,52884,1.287,-33.89452,151.1556,41,2.0,150.9,5.99,Inner West,"8,500",2049.0,"English 22.4%, Australian 17.7%, Irish 11.1%, Scottish 7.1%, Italian 3.8%","$1,500,000.00","$1,800,000.00",20.00%,$760.00,"$750,000.00",$460.00,3%,14.8,15,15,Petersham,White Cockatoo Hotel,"Small families, professionals, young professionals",3.0,7.0,5.0,3.0,5.0,3.0,8.0,6.0,8.0,6.0,5.4,https://sydneysuburbreviews.com/petersham
320000,2016-02-17,Rosemeadow,0,0,0,592,Vacant land,7862,32864,2.976,-34.10624,150.79181,149,2.0,150.9,46.98,South West,"8,000",2560.0,"Australian 24.9%, English 22.4%, Irish 5.5%, Scottish 5.3%, German 2.4%","$550,000.00","$690,000.00",25.45%,$400.00,"$440,000.00",$330.00,11%,12.7,105 minutes,60 minutes,Campbelltown,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2300000,2016-02-18,Ultimo,2,4,0,134,House,8845,20072,0.559,-33.87941,151.19845,23,2.0,150.9,1.9,Sydney City,"9,250",2007.0,"Chinese 36.6%, English 8.4%, Australian 5.8%, Thai 4.3%, Korean 3.3%","$1,350,000.00","$1,700,000.00",25.93%,$750.00,"$665,000.00",$605.00,5%,,15,8,Central,"Wentworth Park, Broadway Shopping Centre, Ian Thorpe Aquatic Centre","University students, young professionals",3.0,6.0,4.0,2.0,5.0,5.0,6.0,5.0,5.0,7.0,4.8,https://sydneysuburbreviews.com/ultimo
